0,1501673
1,94015
2,38255
3,238682
4,139747
5,4007
9,12283
11,105
12,6874
13,25984
15,434
16,1275
17,368
18,3287
20,465
24,6906
26,30
27,3
29,17
30,138
31,13007
32,1
34,11
35,4226
37,335
38,138
39,4
40,6
41,4
42,8
43,17019
44,1255
45,59
47,156
48,50
49,20
50,772
51,2
53,915
54,5
55,147
59,10
60,29
61,2
64,32
65,52
66,25
67,244
69,7
71,2
72,36
75,1
76,15
77,1
80,104
81,3
82,230
83,2
85,459
86,12
87,2
89,9
90,6
93,13
94,1
96,1
97,10
98,4794
99,203
100,249
101,25
102,112
103,5
104,5
105,5
106,734
107,7
109,359
110,717
116,2
117,6
118,6
123,18
124,2
128,130
130,2
131,2
132,4
134,68
135,31
139,175
140,14
141,5
142,4
144,5
145,2
155,94
156,46
171,157
